output file: KD_ls.log
HF energy:  -2649.145550980398
LASSCF energy:  -2649.1523536694403
CASCI with LAS orbital -2649.1537231266193
current fragment 0
converged SCF energy = -5.35796186544569
converged SCF energy = -5.35796186544569

WARN: RCCSD method does not support ROHF method. ROHF object is converted to UHF object and UCCSD method is called.

E(UCCSD) = -5.361685222636731  E_corr = -0.003723357191040997
nelec (3, 0)
current fid 0.9984900819569074
current fid 0.9984900819571109
current fid 0.9984900819570847
current fid 0.998490081956882
current fid 0.9984900819569815
current fid 0.9984900819568238
current fid 0.9984900819569467
current fid 0.9984900819568526
current fid 0.998490081957068
current fid 0.9984900819569722
current fid 0.9984900819569047
current fid 0.9984900819569078
current fid 0.9984900819569094
current fid 0.9984900819569296
current fid 0.9984900819568843
current fid 0.9984900819569196
current fid 0.9984900819569078
current fid 0.9984900819568971
current fid 0.9984900819569384
current fid 0.9984900819568772
current fid 0.9984900819568978
current fid 0.9984900819569371
current fid 0.9984900819569358
current fid 0.9984900819569162
current fid 0.9984900819569058
current fid 0.9984900819569005
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.998490081764081
current fid 0.9984900819573866
current fid 0.9984900819574011
current fid 0.9984900817640957
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819572742
current fid 0.9984900819569129
current fid 0.998490081959143
current fid 0.9984900819567454
current fid 0.9984900819569051
current fid 0.998490081977458
current fid 0.9984900819552098
current fid 0.998490081958553
current fid 0.9984900819785395
current fid 0.9984900819569054
current fid 0.9984900819569047
current fid 0.9984900819569071
current fid 0.9984900819569047
current fid 0.9984900819569065
current fid 0.9984900819569058
current fid 0.9984900819569071
current fid 0.9984900819569051
current fid 0.998490081956908
current fid 0.9984900819569056
current fid 0.9984900819569067
current fid 0.9984900819569058
current fid 0.9984900819569049
current fid 0.9984900819569056
current fid 0.9984900819569045
current fid 0.9984900819569051
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.9984900819569074
current fid 0.8989019152588184
current fid 0.8989019152107641
current fid 0.8989019151718642
current fid 0.8989019150352503
current fid 0.8989019154972807
current fid 0.8989019152123034
current fid 0.898901915197195
current fid 0.8989019149002203
current fid 0.8989019155219976
current fid 0.8989019154012852
current fid 0.8989019152805724
current fid 0.8989019152454376
current fid 0.8989019152306098
current fid 0.8989019153064184
current fid 0.8989019151799621
current fid 0.8989019152719463
current fid 0.8989019152719048
current fid 0.8989019152367845
current fid 0.8989019153367457
current fid 0.8989019151046291
current fid 0.898901915238892
current fid 0.898901915392141
current fid 0.89890191539994
current fid 0.8989019153031228
current fid 0.8989019152533162
current fid 0.8989019152347364
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.898901916684318
current fid 0.8989019152329187
current fid 0.8989019152313237
current fid 0.8989019166826445
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152588184
current fid 0.8989019152303129
current fid 0.8989019152583441
current fid 0.8989019151783342
current fid 0.8989019152658372
current fid 0.8989019152583344
current fid 0.8989019144772069
